,Boat,Ranking,Team,Score,Date
2,3V,3,Dartmouth College,2.73,"May 6, 2022"
3,3V,4,Brown University,3.82,"May 6, 2022"
4,3V,5,Princeton University,4.82,"May 6, 2022"
5,3V,6,Syracuse University,5.45,"May 6, 2022"
6,3V,7,US Naval Academy,6.73,"May 6, 2022"
7,3V,8,Northeastern University,7.45,"May 6, 2022"
8,3V,9,Boston University,8.73,"May 6, 2022"
9,3V,10,Cornell University,9.55,"May 6, 2022"
10,3V,11,University of Wisconsin,9.55,"May 6, 2022"
11,3V,12,University of Pennsylvania,11.09,"May 6, 2022"
12,3V,13,College of Holy Cross,12.18,"May 6, 2022"
13,3V,14,Columbia University,12.91,"May 6, 2022"
0,4V,1,Dartmouth College,1.00,"May 6, 2022"
1,4V,2,Yale University,2.00,"May 6, 2022"
2,4V,3,Harvard University,2.75,"May 6, 2022"
3,4V,4,Brown University,4.00,"May 6, 2022"
4,4V,5,Princeton University,5.13,"May 6, 2022"
5,4V,6,Boston University,5.25,"May 6, 2022"
6,4V,7,US Naval Academy,6.00,"May 6, 2022"
7,4V,8,Cornell University,7.38,"May 6, 2022"
8,4V,9,University of Wisconsin,8.13,"May 6, 2022"
9,4V,10,Syracuse University,9.00,"May 6, 2022"
10,4V,11,College of Holy Cross,10.00,"May 6, 2022"
0,5V,1,Yale University,1.00,"May 6, 2022"
1,5V,2,Dartmouth College,2.00,"May 6, 2022"
2,5V,3,US Naval Academy,2.50,"May 6, 2022"
3,5V,4,Harvard University,3.50,"May 6, 2022"
4,5V,5,Brown University,4.25,"May 6, 2022"
5,5V,6,Princeton University,5.50,"May 6, 2022"
6,5V,7,Cornell University,5.75,"May 6, 2022"
0,1V,1,Yale University,1.00,"April 27, 2022"
1,1V,2,Harvard University,2.07,"April 27, 2022"
2,1V,3,Dartmouth College,3.00,"April 27, 2022"
3,1V,4,Syracuse University,3.79,"April 27, 2022"
4,1V,5,Brown University,4.43,"April 27, 2022"
5,1V,6,Northeastern University,5.71,"April 27, 2022"
6,1V,7,Princeton University,6.50,"April 27, 2022"
7,1V,8,Cornell University,7.64,"April 27, 2022"
8,1V,9,University of Wisconsin,8.71,"April 27, 2022"
9,1V,10,US Naval Academy,9.50,"April 27, 2022"
10,1V,11,Boston University,9.86,"April 27, 2022"
11,1V,12,University of Pennsylvania,11.29,"April 27, 2022"
12,1V,13,Columbia University,12.14,"April 27, 2022"
13,1V,14,Georgetown University,13.07,"April 27, 2022"
14,1V,15,College of Holy Cross,14.00,"April 27, 2022"
0,2V,1,Yale University,1.00,"April 27, 2022"
1,2V,2,Dartmouth College,2.07,"April 27, 2022"
2,2V,3,Brown University,3.43,"April 27, 2022"
3,2V,4,Harvard University,3.50,"April 27, 2022"
4,2V,5,Syracuse University,4.36,"April 27, 2022"
5,2V,6,Princeton University,5.79,"April 27, 2022"
6,2V,7,Boston University,6.64,"April 27, 2022"
7,2V,8,University of Wisconsin,8.43,"April 27, 2022"
8,2V,9,University of Pennsylvania,8.86,"April 27, 2022"
9,2V,10,US Naval Academy,9.50,"April 27, 2022"
10,2V,T-11,Cornell University,9.86,"April 27, 2022"
11,2V,T-11,Northeastern University,9.86,"April 27, 2022"
12,2V,13,Columbia University,12.14,"April 27, 2022"
13,2V,14,Georgetown University,13.21,"April 27, 2022"
14,2V,15,College of Holy Cross,13.86,"April 27, 2022"
0,3V,1,Yale University,1.00,"April 27, 2022"
1,3V,2,Harvard University,2.08,"April 27, 2022"
2,3V,3,Dartmouth College,2.69,"April 27, 2022"
3,3V,4,Brown University,4.00,"April 27, 2022"
4,3V,5,Princeton University,4.62,"April 27, 2022"
5,3V,6,Syracuse University,5.46,"April 27, 2022"
6,3V,7,US Naval Academy,6.69,"April 27, 2022"
7,3V,8,Northeastern University,7.85,"April 27, 2022"
8,3V,9,Boston University,8.85,"April 27, 2022"
9,3V,10,University of Wisconsin,9.15,"April 27, 2022"
10,3V,11,Cornell University,9.85,"April 27, 2022"
11,3V,12,University of Pennsylvania,10.85,"April 27, 2022"
12,3V,13,College of Holy Cross,12.31,"April 27, 2022"
13,3V,14,Columbia University,12.85,"April 27, 2022"
0,4V,1,Dartmouth College,1.00,"April 27, 2022"
1,4V,2,Yale University,2.00,"April 27, 2022"
2,4V,3,Harvard University,2.70,"April 27, 2022"
3,4V,4,Brown University,4.10,"April 27, 2022"
4,4V,5,Boston University,4.90,"April 27, 2022"
5,4V,6,Princeton University,5.00,"April 27, 2022"
6,4V,7,US Naval Academy,6.20,"April 27, 2022"
7,4V,8,Cornell University,7.60,"April 27, 2022"
8,4V,9,University of Wisconsin,8.20,"April 27, 2022"
9,4V,10,Syracuse University,8.90,"April 27, 2022"
10,4V,11,College of Holy Cross,10.00,"April 27, 2022"
0,5V,1,Yale University,1.00,"April 27, 2022"
1,5V,2,Dartmouth College,2.00,"April 27, 2022"
2,5V,3,US Naval Academy,2.60,"April 27, 2022"
3,5V,4,Harvard University,3.20,"April 27, 2022"
4,5V,5,Brown University,4.20,"April 27, 2022"
5,5V,6,Princeton University,5.00,"April 27, 2022"
0,1V,1,Yale University,1.00,"April 20, 2022"
1,1V,2,Harvard University,2.14,"April 20, 2022"
2,1V,3,Dartmouth College,3.50,"April 20, 2022"
3,1V,4,Syracuse University,3.57,"April 20, 2022"
4,1V,5,Brown University,4.07,"April 20, 2022"
5,1V,6,Northeastern University,5.64,"April 20, 2022"
6,1V,7,Princeton University,7.14,"April 20, 2022"
7,1V,8,Cornell University,7.29,"April 20, 2022"
8,1V,9,University of Wisconsin,9.07,"April 20, 2022"
9,1V,10,US Naval Academy,9.36,"April 20, 2022"
10,1V,11,Boston University,9.57,"April 20, 2022"
11,1V,12,University of Pennsylvania,10.93,"April 20, 2022"
12,1V,13,Columbia University,12.14,"April 20, 2022"
13,1V,14,Georgetown University,13.07,"April 20, 2022"
14,1V,15,College of Holy Cross,14.00,"April 20, 2022"
0,2V,1,Yale University,1.00,"April 20, 2022"
1,2V,2,Dartmouth College,2.36,"April 20, 2022"
2,2V,3,Brown University,2.71,"April 20, 2022"
3,2V,4,Harvard University,3.86,"April 20, 2022"
4,2V,5,Syracuse University,4.43,"April 20, 2022"
5,2V,6,Princeton University,5.93,"April 20, 2022"
6,2V,7,Boston University,7.29,"April 20, 2022"
7,2V,8,US Naval Academy,7.79,"April 20, 2022"
8,2V,9,University of Wisconsin,8.14,"April 20, 2022"
9,2V,10,Northeastern University,9.14,"April 20, 2022"
10,2V,11,Cornell University,9.43,"April 20, 2022"
11,2V,12,University of Pennsylvania,11.21,"April 20, 2022"
12,2V,13,Columbia University,12.14,"April 20, 2022"
13,2V,14,Georgetown University,13.29,"April 20, 2022"
14,2V,15,College of Holy Cross,13.79,"April 20, 2022"
0,3V,1,Yale University,1.08,"April 20, 2022"
1,3V,2,Harvard University,2.23,"April 20, 2022"
2,3V,3,Dartmouth College,2.62,"April 20, 2022"
3,3V,T-4,Brown University,4.23,"April 20, 2022"
4,3V,T-4,Princeton University,4.23,"April 20, 2022"
5,3V,6,Syracuse University,5.46,"April 20, 2022"
6,3V,7,US Naval Academy,6.77,"April 20, 2022"
7,3V,8,Northeastern University,8.00,"April 20, 2022"
8,3V,9,Boston University,8.92,"April 20, 2022"
9,3V,10,University of Wisconsin,9.08,"April 20, 2022"
10,3V,11,Cornell University,9.77,"April 20, 2022"
11,3V,12,University of Pennsylvania,10.54,"April 20, 2022"
12,3V,T-13,Columbia University,12.54,"April 20, 2022"
13,3V,T-13,College of Holy Cross,12.54,"April 20, 2022"
0,4V,1,Dartmouth College,1.10,"April 20, 2022"
1,4V,2,Yale University,2.20,"April 20, 2022"
2,4V,3,Harvard University,2.80,"April 20, 2022"
3,4V,4,Brown University,4.20,"April 20, 2022"
4,4V,5,Boston University,5.10,"April 20, 2022"
5,4V,6,Princeton University,5.30,"April 20, 2022"
6,4V,7,US Naval Academy,5.70,"April 20, 2022"
7,4V,8,Cornell University,7.80,"April 20, 2022"
8,4V,9,University of Wisconsin,8.10,"April 20, 2022"
9,4V,10,Syracuse University,8.30,"April 20, 2022"
10,4V,11,College of Holy Cross,10.00,"April 20, 2022"
0,5V,1,Yale University,1.00,"April 20, 2022"
1,5V,2,Dartmouth College,2.40,"April 20, 2022"
2,5V,T-3,Harvard University,2.80,"April 20, 2022"
3,5V,T-3,US Naval Academy,2.80,"April 20, 2022"
4,5V,5,Brown University,4.00,"April 20, 2022"
5,5V,6,Princeton University,5.00,"April 20, 2022"
0,1V,1,Yale University,1.00,"April 14, 2022"
1,1V,2,Harvard University,2.14,"April 14, 2022"
2,1V,3,Dartmouth College,3.57,"April 14, 2022"
3,1V,4,Syracuse University,3.71,"April 14, 2022"
4,1V,5,Brown University,3.93,"April 14, 2022"
5,1V,6,Northeastern University,5.86,"April 14, 2022"
6,1V,7,Princeton University,6.93,"April 14, 2022"
7,1V,8,Cornell University,8.93,"April 14, 2022"
8,1V,9,US Naval Academy,9.00,"April 14, 2022"
9,1V,10,University of Wisconsin,9.14,"April 14, 2022"
10,1V,11,Boston University,9.29,"April 14, 2022"
11,1V,12,University of Pennsylvania,9.79,"April 14, 2022"
12,1V,13,Columbia University,12.14,"April 14, 2022"
13,1V,14,College of Holy Cross,13.43,"April 14, 2022"
14,1V,15,Georgetown University,13.64,"April 14, 2022"
0,2V,1,Yale University,1.00,"April 14, 2022"
1,2V,2,Dartmouth College,2.15,"April 14, 2022"
2,2V,3,Brown University,2.69,"April 14, 2022"
3,2V,4,Harvard University,4.23,"April 14, 2022"
4,2V,5,Syracuse University,4.62,"April 14, 2022"
5,2V,6,Princeton University,5.46,"April 14, 2022"
6,2V,7,Boston University,6.57,"April 14, 2022"
7,2V,8,University of Wisconsin,8.31,"April 14, 2022"
8,2V,9,US Naval Academy,8.77,"April 14, 2022"
9,2V,10,Northeastern University,8.85,"April 14, 2022"
10,2V,11,Cornell University,10.23,"April 14, 2022"
11,2V,12,University of Pennsylvania,10.46,"April 14, 2022"
12,2V,13,Columbia University,12.15,"April 14, 2022"
13,2V,T-14,College of Holy Cross,13.54,"April 14, 2022"
14,2V,T-14,Georgetown University,13.54,"April 14, 2022"
0,3V,1,Yale University,1.08,"April 14, 2022"
1,3V,2,Harvard University,2.23,"April 14, 2022"
2,3V,3,Dartmouth College,3.00,"April 14, 2022"
3,3V,4,Princeton University,3.85,"April 14, 2022"
4,3V,5,Brown University,4.77,"April 14, 2022"
5,3V,6,Syracuse University,5.92,"April 14, 2022"
6,3V,7,US Naval Academy,6.69,"April 14, 2022"
7,3V,8,Northeastern University,7.08,"April 14, 2022"
8,3V,9,Boston University,8.23,"April 14, 2022"
9,3V,10,University of Wisconsin,9.38,"April 14, 2022"
10,3V,11,University of Pennsylvania,10.00,"April 14, 2022"
11,3V,12,Cornell University,10.69,"April 14, 2022"
12,3V,T-13,College of Holy Cross,12.54,"April 14, 2022"
13,3V,T-13,Columbia University,12.54,"April 14, 2022"
0,4V,1,Dartmouth College,1.00,"April 14, 2022"
1,4V,2,Yale University,2.30,"April 14, 2022"
2,4V,3,Harvard University,2.60,"April 14, 2022"
3,4V,4,Boston University,4.10,"April 14, 2022"
4,4V,T-5,Brown University,5.20,"April 14, 2022"
5,4V,T-5,Princeton University,5.20,"April 14, 2022"
6,4V,7,Syracuse University,6.60,"April 14, 2022"
7,4V,8,US Naval Academy,6.80,"April 14, 2022"
8,4V,9,University of Wisconsin,7.90,"April 14, 2022"
9,4V,10,Cornell University,8.80,"April 14, 2022"
10,4V,11,College of Holy Cross,10.00,"April 14, 2022"
0,5V,1,Yale University,1.00,"April 14, 2022"
1,5V,T-2,Dartmouth College,2.60,"April 14, 2022"
2,5V,T-2,Harvard University,2.60,"April 14, 2022"
3,5V,4,US Naval Academy,2.80,"April 14, 2022"
4,5V,5,Brown University,4.00,"April 14, 2022"
5,5V,6,Princeton University,5.00,"April 14, 2022"
0,1V,1,Yale,1.00,"May 14, 2019"
1,1V,2,Harvard,2.00,"May 14, 2019"
2,1V,3,Princeton,2.93,"May 14, 2019"
3,1V,4,Brown,3.86,"May 14, 2019"
4,1V,5,Northeastern,4.71,"May 14, 2019"
5,1V,6,Boston Univ.,5.71,"May 14, 2019"
6,1V,7,Syracuse,6.64,"May 14, 2019"
7,1V,8,Dartmouth,7.64,"May 14, 2019"
8,1V,9,Navy,8.50,"May 14, 2019"
9,1V,10,Cornell,9.43,"May 14, 2019"
10,1V,11,George Wash.,11.29,"May 14, 2019"
11,1V,12,Columbia,11.93,"May 14, 2019"
12,1V,13,Wisconsin,12.21,"May 14, 2019"
13,1V,14,Georgetown,12.71,"May 14, 2019"
14,1V,15,Pennsylavnia,13.14,"May 14, 2019"
15,1V,16,Holy Cross,15.00,"May 14, 2019"
16,1V,17,Rutgers,16.00,"May 14, 2019"
0,2V,1,Yale,1.00,"May 14, 2019"
1,2V,2,Brown,2.07,"May 14, 2019"
2,2V,3,Harvard,2.79,"May 14, 2019"
3,2V,4,Princeton,3.86,"May 14, 2019"
4,2V,5,Northeastern,4.79,"May 14, 2019"
5,2V,6,Boston Univ.,5.70,"May 14, 2019"
6,2V,7,Dartmouth,6.75,"May 14, 2019"
7,2V,8,Syracuse,7.43,"May 14, 2019"
8,2V,9,Navy,8.50,"May 14, 2019"
9,2V,10,Cornell,9.86,"May 14, 2019"
10,2V,11,Columbia,10.43,"May 14, 2019"
11,2V,12,Wisconsin,11.43,"May 14, 2019"
12,2V,13,George Wash.,12.21,"May 14, 2019"
13,2V,14,Pennsylavnia,12.64,"May 14, 2019"
14,2V,15,Georgetown,14.29,"May 14, 2019"
15,2V,16,Holy Cross,14.86,"May 14, 2019"
16,2V,17,Rutgers,16.00,"May 14, 2019"
0,3V,1,Yale,1.00,"May 14, 2019"
1,3V,2,Princeton,2.00,"May 14, 2019"
2,3V,3,Harvard,2.82,"May 14, 2019"
3,3V,4,Dartmouth,4.18,"May 14, 2019"
4,3V,5,Brown,5.00,"May 14, 2019"
5,3V,6,Northeastern,5.64,"May 14, 2019"
6,3V,7,Syracuse,6.27,"May 14, 2019"
7,3V,8,Boston Univ.,7.09,"May 14, 2019"
8,3V,9,Navy,8.36,"May 14, 2019"
9,3V,10,Cornell,9.64,"May 14, 2019"
10,3V,11,Wisconsin,10.00,"May 14, 2019"
11,3V,12,George Wash.,11.10,"May 14, 2019"
12,3V,13,Columbia,12.00,"May 14, 2019"
13,3V,14,Holy Cross,13.00,"May 14, 2019"
0,4V,1,Yale,1.00,"May 14, 2019"
1,4V,2,Princeton,2.00,"May 14, 2019"
2,4V,3,Harvard,2.88,"May 14, 2019"
3,4V,4,Dartmouth,3.75,"May 14, 2019"
4,4V,5,Boston Univ.,4.63,"May 14, 2019"
5,4V,6,Navy,5.38,"May 14, 2019"
6,4V,7,Syracuse,6.75,"May 14, 2019"
7,4V,8,Brown,6.88,"May 14, 2019"
8,4V,9,Wisconsin,8.38,"May 14, 2019"
9,4V,10,George Wash.,8.88,"May 14, 2019"
10,4V,11,Cornell,9.88,"May 14, 2019"
0,5V,1,Yale,1.00,"May 14, 2019"
1,5V,2,Navy,2.00,"May 14, 2019"
2,5V,3,Wisconsin,3.25,"May 14, 2019"
3,5V,4,Harvard,3.50,"May 14, 2019"
4,5V,5,Princeton,4.25,"May 14, 2019"
5,5V,6,Dartmouth,5.00,"May 14, 2019"
0,1V,1,YAL,1.00,"May 8, 2019"
1,1V,2,HAR,1.94,"May 8, 2019"
2,1V,3,PRI,2.94,"May 8, 2019"
3,1V,4,BRO,3.88,"May 8, 2019"
4,1V,5,NOR,4.63,"May 8, 2019"
5,1V,6,BOS,5.69,"May 8, 2019"
6,1V,7,SYR,6.63,"May 8, 2019"
7,1V,8,DAR,7.63,"May 8, 2019"
8,1V,9,NAV,8.44,"May 8, 2019"
9,1V,10,COR,9.44,"May 8, 2019"
10,1V,11,GWU,11.25,"May 8, 2019"
11,1V,12,COL,11.94,"May 8, 2019"
12,1V,13,WIS,12.13,"May 8, 2019"
